DESCRIPTION,PROPERTY NAME,ESA,STREET START NR,STREET END NR,LOT PREFIX,LOT NUMBER,STREET_NAME,STREET TYPE,LOCALITY_NAME,STATE CODE,POST CODE,LONG  DEG,LONG  MIN,LONG SEC,EW HEM,LAT DEG,LAT MIN,LAT SEC,NS HEMI,AMG ZONE,EASTING,NORTHING,PMS CODE
,BAROOGA EXCHANGE,BAGA,,,,,BANKER,ST,BAROOGA,NSW,3644,145,41,32,E,35,54,40,S,55,381988,6025122,934
,BARRABA EXCHANGE,BABA,25,,,,QUEEN,ST,BARRABA,NSW,2347,150,36,40,E,30,23,35,S,56,270480,6635248,893
,BARRINGTON SCAX,BNTN,,,,,BARRINGTON-GLOUCESTER,RD,BARRINGTON,NSW,2422,151,55,41,E,31,58,36,S,56,398723,6461660,908
,BARRY SCAX,BLAY,,,,,SELWYN,ST,BARRY,NSW,2799,149,15,58,E,33,38,59,S,55,710156,6274385,922
CORNER BRUXNER HIGHWAY &,BARWICK SCAX,BRWK,,,,,MINGOOLA STATION,RD,BARWICK,NSW,2372,151,32,24,E,29,0,20,S,56,357795,6790532,4177
58K SOUTHWEST OF CASINO ON,BARYULGIL SCAX,BYGL,,,,,BARYULGIL-FINE FLOWER,RD,BARYULGIL,NSW,2460,152,39,11,E,29,18,14,S,56,466305,6758308,3863
,BATEMANS BAY EXCHANGE,BATE,,,,,BAVARDE,AVE,BATEMANS BAY,NSW,2536,150,10,40,E,35,42,29,S,56,244672,6044746,3207
,BATHURST EXCHANGE,BATH,230,,,,HOWICK,ST,BATHURST,NSW,2795,149,34,52,E,33,25,0,S,55,740018,6299549,3210
,BATLOW EXCHANGE,BATL,82,84,,,MAYDAY,RD,BATLOW,NSW,2730,148,8,47,E,35,31,1,S,55,603938,6069028,4178
CORNER RUSSELL STREET &,BAULKHAM HILLS EXCHANGE,BAUL,249,,,,WINDSOR,RD,BAULKHAM HILLS,NSW,2153,151,0,2,E,33,46,11,S,56,314854,6261590,3212
APP 20K STH OF ULLADULLA,BAWLEY POINT SCAX,BWLY,,,,,THRUSH,ST,BAWLEY POINT,NSW,2539,150,23,24,E,35,30,29,S,56,263295,6067488,3864
,BEDGEREBONG EXCHANGE,BEDG,,,,,CONDOBOLIN FORBES,RD,BEDGEREBONG,NSW,2871,147,35,28,E,33,21,58,S,55,555001,6307975,987
,BEECHWOOD EXCHANGE,BECH,,,,,BEECHWOOD,RD,BEECHWOOD,NSW,2446,152,39,47,E,31,26,21,S,56,467982,6521688,10790
,BEGA EXCHANGE & RT,BEGA,116,,,,GIPPS,ST,BEGA,NSW,2550,149,50,42,E,36,37,38,S,55,754410,5942716,3221
,BELBORA EXCHANGE & RT,BBOR,,,,,GLOUCESTER TAREE,RD,BELBORA,NSW,2422,152,8,49,E,32,0,23,S,56,419431,6458531,4204
,BELFORD SCAX,BELF,,,,,LINDSAY,ST,BELFORD,NSW,2335,151,16,12,E,32,39,6,S,56,337751,6386016,4216
,BELLANGRY SCAX,BELY,,,,,COWAL CREEK,RD,BELLANGRY,NSW,2446,152,36,40,E,31,20,23,S,56,463007,6532694,4234
CORNER BELAR STREET &,BELLATA SCAX,BLAT,,,,,WILGA,ST,BELLATA,NSW,2397,149,47,31,E,29,55,1,S,55,769559,6687151,1001
APPROXIMATELY 43K NORTHWEST OF KEMPSEY ON,BELLBROOK SCAX & RT,BELB,,,,,ARMIDALE,RD,BELLBROOK,NSW,2440,152,30,25,E,30,49,7,S,56,452841,6590408,3705
,BELLINGEN EXCHANGE,BLGN,,,,,BRIDGE,ST,BELLINGEN,NSW,2454,152,46,52,E,30,29,58,S,56,478995,6625862,3226
,BELMONT EXCHANGE,BELT,583,,,,PACIFIC,HWY,BELMONT,NSW,2280,151,39,39,E,33,2,11,S,56,374950,6343892,3234
,BELUBULA SCAX,BELU,,,,,GOOLOOGONG,RD,BELUBULA,NSW,2805,148,33,14,E,33,36,57,S,55,644158,6279363,1005
BEHIND POST OFFICE IN,BEMBOKA SCAX,BEMB,,,,,BETTS,ST,BEMBOKA,NSW,2550,149,34,12,E,36,37,40,S,55,729813,5943348,1040
SOUTH OF NOWRA ON,BENDALONG SCAX,BDLG,,,,,CUNJURONG POINT,RD,MANYANA,NSW,2539,150,30,16,E,35,15,24,S,56,272974,6095628,4240
APPROXIMATELY 40K NORTH OF TAMWORTH ON CORNER HENRY STREET &,BENDEMEER SCAX,BENR,,,,,CAROLINE,ST,BENDEMEER,NSW,2355,151,9,18,E,30,53,4,S,56,323640,6581757,1007
CORNER OF DREW ROAD &,BENEREMBAH SCAX,BBAH,,,,,WOODSIDE,RD,BENEREMBAH,NSW,2680,145,53,6,E,34,19,40,S,55,397415,6200940,1027
,BENTLEY SCAX,BNLY,,,,,MANIFOLD,ST,BENTLEY,NSW,2480,153,4,41,E,28,45,5,S,56,507618,6819569,1044
,BENWERRIN SCAX,BWIN,,,,,MINMI,RD,BENWERRIN,NSW,2322,151,35,45,E,32,50,8,S,56,368583,6366080,1082
NEAR BERAMBING CRESCENT WESTERN END OF,BERAMBING SCAX,BMBG,,,,,BELLS LINE OF,RD,BERAMBING,NSW,2758,150,26,27,E,33,32,11,S,56,262364,6286322,4246
3.6K STH OF MORUYA,BERGALIA SCAX,MORU,6,,,,PRINCES,HWY,BERGALIA,NSW,2537,150,6,3,E,35,57,59,S,56,238565,6015878,14145
NEAR CNR KERRY CRES,BERKELEY VALE EXCHANGE,BLVE,3,5,,,PINDARRI,AVE,BERKELEY VALE,NSW,2261,151,25,48,E,33,21,49,S,56,353938,6307311,3218
OPP THE NORTHERN RD,BERKSHIRE PARK RSS,BKPK,,,,,RICHMOND,RD,BERKSHIRE PARK,NSW,2765,150,48,36,E,33,38,21,S,56,296892,6275709,4188
CNR LAMONT ST,BERMAGUI EXCHANGE,BERS,,,,,WALLAGA,ST,BERMAGUI,NSW,2546,150,4,41,E,36,25,37,S,56,238053,5964733,10283
CORNER BEROWRA WATERS ROAD &,BEROWRA EXCHANGE,BERO,1,,,,CROWLEY,RD,BEROWRA,NSW,2081,151,8,49,E,33,37,26,S,56,328104,6278010,3251
,BERREMANGRA SCAX,BMGA,,,,,HUME,HWY,BERREMANGRA,NSW,2582,148,30,5,E,34,48,47,S,55,637314,6146654,1106
,BERRIDALE EXCHANGE,BDLE,8,,,,MYACK,ST,BERRIDALE,NSW,2628,148,49,38,E,36,21,57,S,55,663935,5973921,3268
CNR BAROOGA ST,BERRIGAN EXCHANGE,BGAN,,,,,CARTER,ST,BERRIGAN,NSW,2712,145,48,44,E,35,39,27,S,55,392475,6053391,3271
CNR CHILLCOTT RD,BERRILEE EXCHANGE,BIRR,1,15,,,MCCALLUMS,AVE,BERRILEE,NSW,2159,151,5,38,E,33,36,48,S,56,323173,6279096,1135
,BERRIMA SCAX,BEMA,61,,,,MEDWAY,RD,BERRIMA,NSW,2577,150,22,1,E,34,27,23,S,56,258126,6184101,4192
,BERRY EXCHANGE,BERY,,,,,EDWARDS,ST,BERRY,NSW,2535,150,45,54,E,34,46,25,S,56,295480,6149795,1114
,BERTHONG SCAX,BTHG,,,,,STOCKINBINGAL,ST,BERTHONG,NSW,2594,148,2,54,E,34,29,38,S,55,596261,6182587,1121
,BETHUNGRA SCAX,BTGA,,,,,STATION,ST,BETHUNGRA,NSW,2590,147,48,18,E,34,46,0,S,55,573679,6152542,4193
CORNER BERTUNERA ROAD &,BETHUNGRA SOUTH SCAX,BSTH,,,,,GUNDAGAI,RD,BETHUNGRA SOUTH,NSW,2590,147,51,34,E,34,51,30,S,55,578574,6142335,1127
,BEVENDALE SCAX,BVDE,,,,,NARRAWA-DALTON,RD,BEVENDALE,NSW,2581,149,6,50,E,34,31,57,S,55,694013,6176776,1095
,BEXHILL SCAX,BEXL,,,,,CORNDALE,RD,BEXHILL,NSW,2480,153,20,45,E,28,45,39,S,56,533759,6818476,1103
,BIALA EXCHANGE,BIAL,,,,,WHEEO GUNNING,RD,BIALA,NSW,2581,149,14,38,E,34,35,55,S,55,705783,6169185,1105
